FY,Army,Navy,Air Force,Marines,All Others,Total Veterans
2000,12806208,5949415,4500864,2277908,763969,26298363
2001,12485355,5802859,4401873,2265332,764489,25719908
2002,12287914,5693924,4333826,2272382,787659,25375705
2003,12045193,5577683,4276421,2277365,824656,25001318
2004,11892472,5502188,4236425,2290726,874324,24796134
2005,11719796,5429555,4217076,2303778,903721,24573926
2006,11415827,5290813,4136476,2297580,932224,24072921
2007,11154110,5165968,4085592,2295137,960118,23660925
2008,10962227,5086289,4038580,2305611,979277,23371983
2009,10700883,4978218,3986744,2306138,1009170,22981153
2010,10543843,4913318,3965206,2326287,1041250,22789904
2011,10300066,4829138,3926299,2335798,1067993,22459295
2012,10084311,4757087,3884527,2345818,1091306,22163048
2013,9938727,4707266,3871537,2350333,1119157,21987020
2014,9737396,4623065,3830702,2328784,1137159,21657106
2015,9498372,4520433,3752398,2284963,1147660,21203827
2016,9329510,4431903,3672558,2257083,1164902,20855957
2017,9157584,4347679,3593040,2208794,1177249,20484346
2018,9024439,4272694,3522141,2162150,1190521,20171945
2019,8805695,4182174,3444956,2136480,1199595,19768900
2020,8523143,4085246,3352875,2083828,1182652,19227745
2021,8293698,3979437,3263916,2065152,1192412,18794615
2022,8104492,3891091,3189844,2051772,1199492,18436692
2023,7928835,3808396,3120801,2039446,1203100,18100578
